[2025-06-24T17:04:38.685Z] Starting Udemy Advanced Course Finder fetch...
[2025-06-24T17:04:38.689Z] Fetching free South African courses...
[2025-06-24T17:05:19.676Z] Stored new course: Master of Science in Computer Science (21174)
[2025-06-24T17:05:19.679Z] Course 21173 already exists, skipping.
[2025-06-24T17:05:19.680Z] Course 21172 already exists, skipping.
[2025-06-24T17:05:19.682Z] Course 21169 already exists, skipping.
[2025-06-24T17:05:19.683Z] Course 21166 already exists, skipping.
[2025-06-24T17:05:19.687Z] Course 21170 already exists, skipping.
[2025-06-24T17:05:19.688Z] Course 21167 already exists, skipping.
[2025-06-24T17:05:19.690Z] Course 21171 already exists, skipping.
[2025-06-24T17:05:19.692Z] Course 21168 already exists, skipping.
[2025-06-24T17:05:19.694Z] Course 21163 already exists, skipping.
[2025-06-24T17:05:19.697Z] Course 21160 already exists, skipping.
[2025-06-24T17:05:19.699Z] Course 21164 already exists, skipping.
[2025-06-24T17:05:19.701Z] Course 21161 already exists, skipping.
[2025-06-24T17:05:19.703Z] Course 21165 already exists, skipping.
[2025-06-24T17:05:19.705Z] Course 21162 already exists, skipping.
[2025-06-24T17:05:19.706Z] Course 21159 already exists, skipping.
[2025-06-24T17:05:19.708Z] Course 21157 already exists, skipping.
[2025-06-24T17:05:19.709Z] Course 21158 already exists, skipping.
[2025-06-24T17:05:19.711Z] Course 21155 already exists, skipping.
[2025-06-24T17:05:19.712Z] Course 21156 already exists, skipping.
[2025-06-24T17:05:19.714Z] Course 21150 already exists, skipping.
[2025-06-24T17:05:19.715Z] Course 21147 already exists, skipping.
[2025-06-24T17:05:19.717Z] Course 21144 already exists, skipping.
[2025-06-24T17:05:19.721Z] Course 21141 already exists, skipping.
[2025-06-24T17:05:19.722Z] Course 21154 already exists, skipping.
[2025-06-24T17:05:19.724Z] Course 21151 already exists, skipping.
[2025-06-24T17:05:19.726Z] Course 21148 already exists, skipping.
[2025-06-24T17:05:19.728Z] Course 21145 already exists, skipping.
[2025-06-24T17:05:19.730Z] Course 21142 already exists, skipping.
[2025-06-24T17:05:19.731Z] Course 21152 already exists, skipping.
