[2025-07-07T17:18:06.410Z] Starting Udemy Advanced Course Finder fetch...
[2025-07-07T17:18:06.416Z] Fetching free South African courses...
[2025-07-07T17:18:33.510Z] Course 21174 already exists, skipping.
[2025-07-07T17:18:33.512Z] Course 21173 already exists, skipping.
[2025-07-07T17:18:33.514Z] Course 21172 already exists, skipping.
[2025-07-07T17:18:33.516Z] Course 21169 already exists, skipping.
[2025-07-07T17:18:33.519Z] Course 21166 already exists, skipping.
[2025-07-07T17:18:33.521Z] Course 21170 already exists, skipping.
[2025-07-07T17:18:33.524Z] Course 21167 already exists, skipping.
[2025-07-07T17:18:33.526Z] Course 21171 already exists, skipping.
[2025-07-07T17:18:33.529Z] Course 21168 already exists, skipping.
[2025-07-07T17:18:33.531Z] Course 21163 already exists, skipping.
[2025-07-07T17:18:33.537Z] Course 21160 already exists, skipping.
[2025-07-07T17:18:33.544Z] Course 21164 already exists, skipping.
[2025-07-07T17:18:33.547Z] Course 21161 already exists, skipping.
[2025-07-07T17:18:33.552Z] Course 21165 already exists, skipping.
[2025-07-07T17:18:33.555Z] Course 21162 already exists, skipping.
[2025-07-07T17:18:33.557Z] Course 21159 already exists, skipping.
[2025-07-07T17:18:33.560Z] Course 21157 already exists, skipping.
[2025-07-07T17:18:33.562Z] Course 21158 already exists, skipping.
[2025-07-07T17:18:33.564Z] Course 21155 already exists, skipping.
[2025-07-07T17:18:33.569Z] Course 21156 already exists, skipping.
[2025-07-07T17:18:33.576Z] Course 21150 already exists, skipping.
[2025-07-07T17:18:33.578Z] Course 21147 already exists, skipping.
[2025-07-07T17:18:33.580Z] Course 21144 already exists, skipping.
[2025-07-07T17:18:33.582Z] Course 21141 already exists, skipping.
[2025-07-07T17:18:33.588Z] Course 21154 already exists, skipping.
[2025-07-07T17:18:33.591Z] Course 21151 already exists, skipping.
[2025-07-07T17:18:33.592Z] Course 21148 already exists, skipping.
[2025-07-07T17:18:33.594Z] Course 21145 already exists, skipping.
[2025-07-07T17:18:33.595Z] Course 21142 already exists, skipping.
[2025-07-07T17:18:33.597Z] Course 21152 already exists, skipping.
[2025-07-07T17:18:33.598Z] Course 21149 already exists, skipping.
[2025-07-07T17:18:33.600Z] Course 21146 already exists, skipping.
[2025-07-07T17:18:33.603Z] Course 21143 already exists, skipping.
[2025-07-07T17:18:33.605Z] Course 21153 already exists, skipping.
[2025-07-07T17:18:33.611Z] Course 21134 already exists, skipping.
[2025-07-07T17:18:33.613Z] Course 21131 already exists, skipping.
[2025-07-07T17:18:33.614Z] Course 21128 already exists, skipping.
[2025-07-07T17:18:33.616Z] Course 21125 already exists, skipping.
[2025-07-07T17:18:33.618Z] Course 21122 already exists, skipping.
[2025-07-07T17:18:33.620Z] Course 21138 already exists, skipping.
[2025-07-07T17:18:33.625Z] Course 21135 already exists, skipping.
[2025-07-07T17:18:33.627Z] Course 21132 already exists, skipping.
[2025-07-07T17:18:33.629Z] Course 21129 already exists, skipping.
[2025-07-07T17:18:33.631Z] Course 21126 already exists, skipping.
[2025-07-07T17:18:33.633Z] Course 21139 already exists, skipping.
[2025-07-07T17:18:33.636Z] Course 21123 already exists, skipping.
[2025-07-07T17:18:33.638Z] Course 21136 already exists, skipping.
[2025-07-07T17:18:33.641Z] Course 21133 already exists, skipping.
[2025-07-07T17:18:33.644Z] Course 21130 already exists, skipping.
[2025-07-07T17:18:33.647Z] Course 21127 already exists, skipping.
[2025-07-07T17:18:33.650Z] Course 21140 already exists, skipping.
[2025-07-07T17:18:33.654Z] Course 21124 already exists, skipping.
[2025-07-07T17:18:33.656Z] Course 21137 already exists, skipping.
[2025-07-07T17:18:33.661Z] Course 21118 already exists, skipping.
[2025-07-07T17:18:33.663Z] Course 21102 already exists, skipping.
[2025-07-07T17:18:33.665Z] Course 21115 already exists, skipping.
[2025-07-07T17:18:33.667Z] Course 21112 already exists, skipping.
